Date,Holiday
01.01.2017,1
14.04.2017,1
16.04.2017,1
25.04.2017,1
01.05.2017,1
10.06.2017,1
13.06.2017,1
15.06.2017,1
15.08.2017,1
05.10.2017,1
01.11.2017,1
01.12.2017,1
08.12.2017,1
25.12.2017,1
01.01.2018,1
30.03.2018,1
01.04.2018,1
25.04.2018,1
01.05.2018,1
30.05.2018,1
10.06.2018,1
13.06.2018,1
15.08.2018,1
05.10.2018,1
01.11.2018,1
01.12.2018,1
08.12.2018,1
25.12.2018,1
01.01.2019,1
19.04.2019,1
21.04.2019,1
25.04.2019,1
01.05.2019,1
10.06.2019,1
13.06.2019,1
20.06.2019,1
15.08.2019,1
05.10.2019,1
01.11.2019,1
01.12.2019,1
08.12.2019,1
25.12.2019,1
